Url,Company,Description
https://www.rocketpunch.com//companies/sellyourtravel-1#funded,여행상점,여행상점은 여행전문가 기반 '종합 여행콘텐츠 기업' 입니다.
https://www.rocketpunch.com//companies/gwatop#funded,과탑,"""1:1 오프라인 과외 서비스"""
https://www.rocketpunch.com//companies/seukweeomiteo#funded,캐리업 ((주)스퀘어미터),"여행, 두손을 가볍게! 여행자 짐 보관 및 배송서비스 캐리업"
https://www.rocketpunch.com//companies/osiskorea#funded,베이직스,"전자제품 스타트업, 베이직스는 가격의 상식을 깨고 새로운 기준을 제시하고자 합니다."
https://www.rocketpunch.com//companies/naamezip#funded,남의집,가정집 거실에서 집주인의 취향을 나누는 낯선이들의 거실여행 플랫폼
https://www.rocketpunch.com//companies/buxi#funded,벅시,공항을 오가는 가장 편한 방법. 예약기반의 라이드 셰어링 공항픽업/센딩 서비스입니다.
https://www.rocketpunch.com//companies/eventus#funded,이벤터스,성공적인 행사를 위한 맞춤형 행사지원 플랫폼
https://www.rocketpunch.com//companies/successmode#funded,석세스모드,인바운드 관광객 위한 구매대행 서비스
https://www.rocketpunch.com//companies/paypal#funded,페이팔,인터넷을 이용한 결제 서비스
https://www.rocketpunch.com//companies/alribaba#funded,알리바바,
https://www.rocketpunch.com//companies/naibi#funded,나이비,믹테(MIXTAPE) | 음악 산업에서의 새로운 흐름을 만들어갑니다 | Anonymous Artists (어나니머스 아티스트)
https://www.rocketpunch.com//companies/playtheworld#funded,플레이더월드,세상을 플레이하는 경험을 만듭니다
https://www.rocketpunch.com//companies/switkorea#funded,(주)스윗코리아,"㈜스윗코리아는 팀 단위 협업도구 Swit을 서비스하고 있는 미국 Swit Technologies, Inc.의 한국 본사입니다."
https://www.rocketpunch.com//companies/geurinrain#funded,뉴플랫폼,스타트업
https://www.rocketpunch.com//companies/mojo-studio-inc#funded,모조 스튜디오,크로스보더 이커머스 플랫폼
https://www.rocketpunch.com//companies/mathpresso#funded,매스프레소,We Rebuild Education
https://www.rocketpunch.com//companies/huinno#funded,휴이노,웨어러블 + 헬스케어 + 빅데이터
https://www.rocketpunch.com//companies/mojoventurescoltd#funded,모조 벤처스,
https://www.rocketpunch.com//companies/medizum-1#funded,메디줌,우리동네 마감할인 '오늘의할인' 을 서비스하고 있습니다.
https://www.rocketpunch.com//companies/haieoseupiking#funded,하이어스피킹,
https://www.rocketpunch.com//companies/allstay#funded,올스테이,전 세계 호텔 가격비교 서비스
https://www.rocketpunch.com//companies/RECORD#funded,(주)피플후레코드,"추억 저장소, 레코드"
https://www.rocketpunch.com//companies/spiceware#funded,주식회사 스파이스웨어,클라우드기반의 DB암호화 서비스
https://www.rocketpunch.com//companies/pesteuneo-nayi-banryeodongmul-pateuneo-petner#funded,펫트너,"수의사와 함께하는 반려동물 펫시팅/헬스케어 플랫폼, 펫트너를 만들고 운영합니다."
https://www.rocketpunch.com//companies/tourbuddy#funded,투어버디,여행 전문 플랫폼
https://www.rocketpunch.com//companies/pplink#funded,플링크,"17년 TIPS 선발, 국내외 투자 유치, 궁리하는 사람들이 모여있는 회사"
https://www.rocketpunch.com//companies/wanted#funded,원티드랩,"좋은 기업과 사람들을 연결하는 방법, 원티드"
https://www.rocketpunch.com//companies/5colorchinese#funded,칼라프로젝트,"다섯 색깔로 공부하는 쉬운 중국어, 오색중국어"
https://www.rocketpunch.com//companies/cafit#funded,로그아웃,"모든 급여를, 하나의 캘린더에"
https://www.rocketpunch.com//companies/alycehealthcare#funded,앨리스 헬스케어(Alyce Healthcare),전세계 사람들의 헬스케어 문제를 혁신적으로 해결하는 '인공지능 퍼스널 트레이너-Alyce' 솔루션
https://www.rocketpunch.com//companies/snackfor#funded,스낵포,빅데이터 기반 간식 큐레이션 서비스 '스낵포'
https://www.rocketpunch.com//companies/viewcommz#funded,뷰컴즈,"웹콘텐츠 창작 에이전시, 뷰컴즈 입니다."
https://www.rocketpunch.com//companies/medistaff-1#funded,메디스태프,메디스태프는 의료인을 위한 커뮤니케이션 플랫폼을 만들고 있습니다.
https://www.rocketpunch.com//companies/openbooth#funded,오픈부스,온라인 박람회 플랫폼
https://www.rocketpunch.com//companies/cleaver#funded,클리버,프리미엄 한우 제조 유통
https://www.rocketpunch.com//companies/wenected#funded,WeNecTed,
https://www.rocketpunch.com//companies/jusighoesa-keolcyeokeonegteu-culture-connect-inc#funded,컬쳐커넥트,"우리는 시각, 청각장애인이 겪고 있는 문화 향유의 문제를 IT 솔루션으로 해결하는 소셜벤처입니다."
https://www.rocketpunch.com//companies/kaiaikeompeoni#funded,카이아이컴퍼니,
https://www.rocketpunch.com//companies/popone#funded,포포네,[Fitts : 핏츠] 패션관련 SNS와 커머스를 결합한 새로운 소셜커머스
https://www.rocketpunch.com//companies/adriel#funded,아드리엘,소기업과 스타트업을 위한 글로벌 마케팅 대행 플랫폼
https://www.rocketpunch.com//companies/pispes#funded,Fitpet,펫 헬스케어 솔루션을 개발하는 Pet tech 기업입니다.
https://www.rocketpunch.com//companies/roboteuri#funded,로보트리,"Better World With Paper, 종이가공과 설계기술로  더 나은 세상을  만들고자 하는  로보트리입니다."
https://www.rocketpunch.com//companies/kimcaddie#funded,티잉그라운드,"쉽고 편한 스크린골프, 김캐디"
https://www.rocketpunch.com//companies/waynehills-ventures#funded,웨인힐스벤처스,"웨인힐스벤처스는 사람들을 더욱 행복하게 만들어줄 수 있는 기술과 서비스에 주목합니다.사람들에게 편리한 기술을 만드는 것, 그것이야 말로 우리가 비즈니스 모델을 하기위한 또 투자를 하는 이유,그리고 투자를 통해 만들어가고 싶은 변화된 세상입니다."
https://www.rocketpunch.com//companies/lifelab#funded,생활연구소,"홈 서비스 플랫폼 기업 - 홈클리닝 서비스 ""청소연구소"""
https://www.rocketpunch.com//companies/ipactory#funded,아이팩토리,IP(Intellectual Property) 관련 소프트웨어 개발 스타트업
https://www.rocketpunch.com//companies/aurumplanet#funded,아우름플래닛,전세계에서 백만 명 이상이 찾은 글로벌 1위 인터넷 형광펜 서비스 라이너를 만들고 있습니다.
https://www.rocketpunch.com//companies/medinovation#funded,에스체트,빅데이터 기반의 헬스케어 토탈 서비스 플랫폼(HTSP)
https://www.rocketpunch.com//companies/riiid_inc#funded,뤼이드!,AI tutor(인공지능 선생님)을 개발하고 서비스합니다
https://www.rocketpunch.com//companies/ju-seutendeu#funded,(주)스텐드,"스텐드랩은 ‘모든 청년이 나답게 사는 세상’을 꿈꾸며, 청년 진로고민 문제를 해결하는 소셜벤처입니다."
https://www.rocketpunch.com//companies/macarongfactory#funded,마카롱팩토리,대한민국 1등 운전자 차량관리 필수앱 - 마카롱
https://www.rocketpunch.com//companies/gitple#funded,깃플,하이브리드 채팅상담 클라우드 서비스
https://www.rocketpunch.com//companies/areha-co#funded,파노믹스,빅데이터 / 머신러닝 기반 디지털 마케팅 자동화 솔루션
https://www.rocketpunch.com//companies/newneek#funded,뉴닉,밀레니얼을 위한 시사 뉴스레터를 만들고 있어요.
https://www.rocketpunch.com//companies/fdding#funded,프딩,촬영 중개 플랫폼
https://www.rocketpunch.com//companies/inhandplus-inc#funded,"InHandPlus, Inc.",기술 기반 헬스케어 솔루션 개발
https://www.rocketpunch.com//companies/munchfactory#funded,먼치팩토리,"촬영 장소 공유 플랫폼, 아워플레이스(hourplace)를 운영하고 있습니다."
https://www.rocketpunch.com//companies/meilidemimi#funded,케어마인드,"성형 부작용 예방 필수 성형 어플, 에포터"
https://www.rocketpunch.com//companies/uconnec#funded,유커넥,"""우리는 글로벌 인플루언서 플랫폼을 새롭게 만들어 나갑니다."""
https://www.rocketpunch.com//companies/peoplefund#funded,피플펀드,"피플펀드는 투자자, 대출자, 금융기관을 기술로 연결하여 금융의 미래를 만들어 나갑니다."
https://www.rocketpunch.com//companies/happyhacking#funded,해피해킹,https://hphk.kr
https://www.rocketpunch.com//companies/interiorgentleman#funded,인테리어젠틀맨,상업공간 인테리어를 셀프로 한다고요? 믿고 맡기는 헬프 인테리어 하셔야 합니다!
https://www.rocketpunch.com//companies/piaenssitekeunolroji#funded,피앤씨테크놀로지,Possibility & Creativity
https://www.rocketpunch.com//companies/dely-1#funded,델리,공유 배송 서비스 플랫폼
https://www.rocketpunch.com//companies/bravemobile#funded,숨고,숨고와 위대한 여정을 같이 할 당신을 기다립니다.
https://www.rocketpunch.com//companies/14days#funded,포틴데이즈,여행객 대상의 토탈렌탈 서비스
https://www.rocketpunch.com//companies/talt#funded,탈트,전문가 매칭 플랫폼 / 유저(전문가와 클라이언트)가 행복해지는 서비스를 지향합니다.
https://www.rocketpunch.com//companies/hakdokman#funded,학생독립만세,소득공유 방식의 후불제 교육 플랫폼
https://www.rocketpunch.com//companies/jaranda#funded,자란다,"3~13세 아이를 위한, 방문교육 매칭플랫폼"
https://www.rocketpunch.com//companies/violet#funded,Violet,누구나 손쉽게 나만의 동영상을 편집 / 공유할 수 있도록 도와주는 스타트업입니다.
https://www.rocketpunch.com//companies/ampesand#funded,엠프샌드,플랫폼
https://www.rocketpunch.com//companies/lookinsight#funded,룩인사이트,정부출연과제를 시작으로 중장기 비전이 명확한 스타트업입니다.
https://www.rocketpunch.com//companies/kfarmers#funded,에이임팩트,"직거래와 생산성을 동시에 해결한 소셜임팩트 플랫폼, 어레인지를 서비스합니다!"
https://www.rocketpunch.com//companies/ju-dibnoideu#funded,(주)딥노이드,
https://www.rocketpunch.com//companies/pitchit#funded,피칫 (주 전우행복꿈사람사랑디허브),2분 엘리베이터 피칭 영상으로 스타트업과 투자자를 매칭해주는 플랫폼
https://www.rocketpunch.com//companies/paletteco#funded,에이블리코퍼레이션,NO.1 패션/뷰티 쇼핑앱 에이블리 입니다.
https://www.rocketpunch.com//companies/chsquareinc#funded,씨에이치스퀘어,플로브( Floev) - 온오프믹스(O2O) 안경 플랫폼
https://www.rocketpunch.com//companies/kacab#funded,카찹,"""We change our Mobility life with You and Find your Mobility Chap near by."""
